State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,01/13/2020,-2.3,-6.04,-12.3,-5.39,-3.47,-3.17,-2.55,-3.57,-3.69
2500,01/13/2020,-0.21,-2.41,-14,-2.26,0.372,3.62,-1.75,0.378,0.305
3400,01/13/2020,-0.561,-3.86,-11.6,0.653,-0.622,4.78,1.23,0.227,1.09
3600,01/13/2020,-0.381,-3.63,-13.9,-1.44,-0.891,7.92,-0.114,-0.562,-0.278
4400,01/13/2020,-1.85,-15,-19.1,-5.96,-0.105,1.24,-31.2,-4.51,-9.52
900,01/14/2020,-0.191,-2.51,-8.21,-2.08,-0.296,-2.2,2.22,-0.963,-1.53
2500,01/14/2020,1.27,-2.31,-10,-0.585,3.93,4.84,-0.331,2.11,-0.172
3400,01/14/2020,0.889,-3.53,-9.32,0.164,0.367,3.31,3.22,0.339,0.352
3600,01/14/2020,0.418,-2.34,-10.3,-0.226,0.756,10.9,-1.96,0.396,-0.0367
4400,01/14/2020,0.0836,-12,-30.7,-6.85,4.16,-2.64,-25.3,-2.74,-10.6
900,01/15/2020,0.815,-3.37,-0.0603,-0.762,0.511,2.02,-1.84,-0.601,-1.52
2500,01/15/2020,2.14,-1.9,-8.21,1.17,6.28,11.4,0.651,3.85,0.771
3400,01/15/2020,1.17,-3.38,-5.41,-1.15,0.452,3.82,5.32,-0.395,-1.18
3600,01/15/2020,1.31,-1.9,-3.94,0.221,2.47,10.3,-2.62,1.55,0.527
4400,01/15/2020,1.85,-9.42,-23.2,-2.45,5.23,-6.51,-27.9,0.956,-4.05
900,01/16/2020,0.516,-2.86,-4.95,-1.37,1.84,2.77,2.13,-0.551,-2.45
2500,01/16/2020,2.01,-0.658,-8.32,1.91,6.59,9.56,-1.69,3.91,0.452
3400,01/16/2020,0.393,-3.11,-4.17,-2.53,0.683,-4,2.92,-0.73,-2.07
3600,01/16/2020,0.976,-1.45,-5.13,0.287,3.26,7.17,-0.118,1.86,0.344
4400,01/16/2020,-2.57,-4.54,-8.42,-7.13,5.29,-10.4,-9.77,0.593,-4.88
900,01/17/2020,0.936,-2.96,0.46,-2.78,2.43,1.2,8.39,0.658,-0.773
2500,01/17/2020,0.216,-0.925,-7.23,-2.06,4.33,8.03,0.466,1.55,-2.1
3400,01/17/2020,-1.45,-3.13,-3.2,-3.94,-1.05,-1.19,1.57,-2.19,-3.26
3600,01/17/2020,-0.357,-1.01,-1.25,-2.98,0.587,0.838,1.46,-0.511,-1.72
4400,01/17/2020,-2.2,-1.43,-8.37,-1.84,9.18,-14.3,5.73,4.81,-0.296
900,01/18/2020,0.602,-4.71,0.0372,-5.33,3.6,3.98,12,0.491,-1.93
2500,01/18/2020,-0.136,-2.43,-6.99,-2.37,4.38,0.0377,-1.62,1.29,-2.75
3400,01/18/2020,-0.847,-3.44,0.139,-4.82,-0.665,-1.26,2.78,-2.59,-4.46
3600,01/18/2020,-0.846,-2.39,0.192,-4.89,-1.09,-1.28,5.06,-2.81,-4.6
4400,01/18/2020,3.04,-4.23,-3.93,-1.05,6.09,-18.1,13.1,3.16,-0.387
900,01/19/2020,0.826,-1.36,5,-6.53,-0.473,2.74,5.54,-2.13,-3.35
2500,01/19/2020,0.257,-0.294,4.53,-0.811,-0.0181,1.48,4.17,-0.582,-1.24
3400,01/19/2020,0.466,-0.0227,8.06,-3.1,-0.161,-1.66,3.23,-1.69,-3.1
3600,01/19/2020,0.906,0.844,4.44,-1.87,-0.353,-1.21,6.7,-1.01,-1.63
4400,01/19/2020,-0.225,-0.189,-4.86,2.26,0.265,-22,23.4,2.31,4.46
900,01/20/2020,8.65,9.09,7.57,6.7,12.2,5.6,6.39,11.7,11.2
2500,01/20/2020,7.1,6.34,11.9,9.69,11.6,0.934,15.2,10,7.72
3400,01/20/2020,3.32,3.4,9.78,1.28,5.9,3.19,3.62,3.43,1.08
3600,01/20/2020,5.93,5.83,6.64,5.68,8.62,1.6,11.2,7.2,5.6
4400,01/20/2020,4.44,10.1,32.6,13.3,6.07,-20,45.4,9.84,14.2
900,01/21/2020,8.09,6.04,16.1,4.26,8.92,3.55,10,7.01,5.44
2500,01/21/2020,5.22,5.65,9.91,3.62,5.44,6.87,8.45,4.53,3.09
3400,01/21/2020,3.87,3.17,13,1.19,4.06,0.246,4.44,2.44,0.812
3600,01/21/2020,5.14,4.78,6.28,3.81,5.72,-0.448,11.9,4.67,3.43
4400,01/21/2020,2.55,-1.44,1.84,5.34,3.21,-18.1,29.5,4.19,5.01
900,01/22/2020,6.23,4.77,6.63,2.43,5.85,-1.11,9.03,5.49,5.09
2500,01/22/2020,3.95,4.77,5.68,1.99,1.55,7.24,6.19,1.97,2.15
3400,01/22/2020,2.98,2.34,10.2,1.36,2.47,-2.06,1.14,1.7,0.884
3600,01/22/2020,3.85,4.22,-0.0193,3.1,2.66,-1.67,11.7,2.81,2.77
4400,01/22/2020,-0.573,0.0889,-8.83,5.72,-1.29,-16.1,10.1,0.131,1.49
900,01/23/2020,5.27,6.07,13,1.95,4.23,6.11,14,3.49,2.77
2500,01/23/2020,3.34,4.62,0.605,2.47,-1.96,0.565,9.37,-0.676,0.547
3400,01/23/2020,2.85,2.69,12.7,1.1,1.42,-1.79,1.78,0.977,0.416
3600,01/23/2020,2.73,3.06,4.94,1.78,0.388,-1.78,8.45,0.943,1.29
4400,01/23/2020,1.53,9.36,-3.14,-2.26,-3.76,-14.1,-9.61,-1.42,1.07
900,01/24/2020,4.66,8.85,3.49,3.56,7.01,4.98,7.64,4.32,2.18
2500,01/24/2020,4.19,4.84,2.4,6.85,-0.511,-0.359,3.99,0.983,2.38
3400,01/24/2020,4.79,3.46,11.7,3.54,5.7,-2.43,0.888,3.93,2.21
3600,01/24/2020,3.2,3.24,4.65,5.54,3.23,-2.29,1.79,2.95,2.47
4400,01/24/2020,1.94,14.7,-1.76,4.86,-0.889,-12.1,-24.4,3.31,8.01
900,01/25/2020,2.69,10.8,0.618,3.31,0.43,2.18,4.4,0.516,0.496
2500,01/25/2020,2.13,3.76,-0.624,4.23,-2.24,-3.3,5.38,-0.648,0.872
3400,01/25/2020,2.86,3.76,11.8,2.15,2.02,-2.28,-0.924,1.84,1.65
3600,01/25/2020,2.34,5.41,5.7,4.42,2.51,-3.48,0.631,2.72,2.8
4400,01/25/2020,0.495,15.1,-8.98,-1.55,-2.51,-10.2,-31.3,-1.81,-1.13
900,01/26/2020,1.33,6.95,-4.72,2.85,2.19,2.28,8.31,2.16,2.13
2500,01/26/2020,1.15,1.51,-6.16,0.938,3.15,-4.79,1.16,0.768,-1.95
3400,01/26/2020,0.882,0.587,5.63,0.518,3.32,-1.23,-0.413,1.35,-0.362
3600,01/26/2020,-0.234,0.345,0.84,-0.35,1.28,-3.94,1.33,0.125,-0.97
4400,01/26/2020,0.695,13.1,1.04,2.36,2.37,-8.19,-36.2,0.153,-2.08
900,01/27/2020,-3.8,-0.483,-10.4,-3.94,-7.95,3.07,3.12,-5.27,-3.37
2500,01/27/2020,-5.75,-4.34,-10.1,-9.1,-12.2,-4.95,-2.47,-11.9,-11.8
3400,01/27/2020,-3.06,-2.55,2.85,-5.2,-4.7,-2.68,-0.688,-4.71,-4.77
3600,01/27/2020,-4.75,-3.96,-2.4,-5.69,-8.83,-4.02,-3.2,-7.78,-6.88
4400,01/27/2020,-2.38,12,5.32,-3.74,-9.19,-2.03,-41.1,-8.83,-8.43
900,01/28/2020,-7.01,-5.33,-10.4,-7.01,-11.8,4.49,3.53,-6.9,-3.27
2500,01/28/2020,-6.8,-3.03,-9.03,-4.3,-12.4,-11.4,-2.2,-10.4,-8.13
3400,01/28/2020,-5.18,-2.67,-1.25,-6.35,-6.7,-7.51,1.69,-6.39,-6.17
3600,01/28/2020,-5.81,-4.2,-0.478,-5.21,-10.7,-7.74,-3.17,-8.42,-6.33
4400,01/28/2020,-1.29,11.2,-3.79,1.13,-3.83,4.13,3.66,-4.49,-5.43
900,01/29/2020,-5.95,0.297,-10.7,-3.87,-11.4,5.61,5.65,-6.96,-3.62
2500,01/29/2020,-5.72,-2.67,-6.7,-3.49,-10.4,-17.8,0.81,-8.64,-6.72
3400,01/29/2020,-4.89,-0.745,-1.5,-5.12,-6.59,-7.72,1.62,-5.61,-4.73
3600,01/29/2020,-5.99,-2.7,-2.95,-4.04,-9.76,-11.8,-4.24,-7.38,-5.11
4400,01/29/2020,-0.917,12.4,34.3,2.64,-1.64,10.3,5.09,-2.17,-3.13
900,01/30/2020,-4.24,1.75,-13.5,-1.11,-10.1,4.15,-2.7,-5.18,-1.41
2500,01/30/2020,-4.18,-1.25,2.25,-1.42,-7.1,-14.2,-1.87,-5.31,-3.26
3400,01/30/2020,-3.47,1.63,-2.05,-2.82,-5.35,-4.71,-2.33,-4.19,-3.1
3600,01/30/2020,-3.52,-0.116,-1.26,-0.672,-6.76,-9.02,-6.27,-3.75,-0.776
4400,01/30/2020,-2.35,4.45,7.89,12.2,1.82,16.4,40.5,-2.04,-6.92
900,01/31/2020,-3.31,0.114,-6.06,1.13,-8.99,-0.338,0.564,-3.5,0.755
2500,01/31/2020,-2.82,0.112,6.91,-0.486,-4.77,-11.8,-0.961,-3.66,-2.34
3400,01/31/2020,-2.48,2.89,-1.73,-0.93,-3.89,-5.62,-2.41,-2.84,-1.85
3600,01/31/2020,-1.72,0.252,1.13,0.872,-3.81,-4.17,-1.3,-1.35,1.11
4400,01/31/2020,-5.39,-0.689,-5.09,6.09,-3.12,22.6,-1.1,0.192,3.6
900,02/01/2020,-0.67,2.03,2.89,6,1.97,-0.935,-3.34,3.49,4.69
2500,02/01/2020,-0.816,1.69,10.6,2.25,-2.1,-3.71,-3.69,-0.251,1.99
3400,02/01/2020,-0.583,4.56,-3,4.43,0.946,-6.1,-3.65,2.04,3.09
3600,02/01/2020,-0.672,0.489,4.83,4.19,0.602,-6.19,-2.95,2.37,4.17
4400,02/01/2020,-5,0.609,-2.46,9.31,-2.27,28.7,-7.46,4.24,11.7
900,02/02/2020,-1.24,1.38,5.43,7.25,1.78,-2.24,-9.77,2.69,3.46
2500,02/02/2020,-0.719,1.8,9.93,3.3,-1.59,-1.9,-7.24,1.4,5.1
3400,02/02/2020,-0.805,3.61,-0.691,3.24,-0.632,-7.33,-5.93,1.31,3.2
3600,02/02/2020,-0.938,2.02,6.94,3.88,0.674,-5.41,-8.1,2.22,3.85
4400,02/02/2020,-2.8,-5.86,2.33,4.51,-0.348,34.9,17.3,2.75,6.09
900,02/03/2020,0.148,3.46,14.7,9.17,0.284,2.56,-8.91,2.11,3.63
2500,02/03/2020,1.09,3.68,12.7,7.13,-1.83,-2.72,-1.6,2.41,7.79
3400,02/03/2020,0.0889,5.03,3.66,4.19,-3.3,-3.42,-4.49,0.142,3.7
3600,02/03/2020,0.684,3.08,9.72,4.74,-0.289,-4.03,-4.08,2.8,6.11
4400,02/03/2020,-2.89,-9.95,7.54,1.64,-1.85,26.4,9.36,4.66,13.1
900,02/04/2020,-0.206,3.62,5.68,10.5,0.419,2.03,-12.5,-0.195,-0.615
2500,02/04/2020,1.85,2.06,14.4,2.32,0.895,-1.62,-6.05,2.21,3.95
3400,02/04/2020,0.741,4.64,5.75,4.13,-0.971,1.11,-9.8,2.26,5.63
3600,02/04/2020,1.29,3.75,10.5,2.61,1.79,-5.27,-4.2,3.28,4.91
4400,02/04/2020,-1.88,-8.44,34.4,-2.63,-2.81,17.9,-18.9,-0.665,1.97
900,02/05/2020,0.522,1.14,3.99,6.45,6.61,0.156,-9.33,0.91,-3.25
2500,02/05/2020,1.51,1.15,14.6,1.27,2.07,1.5,-8.17,2.84,3.96
3400,02/05/2020,1.13,4.31,7.62,3.13,1.05,0.965,-10,2.77,4.53
3600,02/05/2020,1.73,2.34,17.8,-0.941,3.74,-4.74,-5.09,3.05,2.45
4400,02/05/2020,-6.07,-8.86,15.4,-10.9,-0.0787,9.46,-3.44,-0.088,0.295
900,02/06/2020,-0.275,-0.106,9.65,4.02,6.32,-4.33,-8.22,0.231,-4.2
2500,02/06/2020,0.262,-1.03,11.5,-1.55,1.2,-0.491,-9.4,1.29,1.6
3400,02/06/2020,0.631,2.3,9.84,1.23,1.47,0.192,-6.91,2.22,2.98
3600,02/06/2020,0.057,0.572,15.8,-3.6,2.63,-6.99,-4.13,0.709,-1.09
4400,02/06/2020,-8.96,-8.87,26.1,-16.4,-4.43,0.981,-17.7,-2.81,-0.214
900,02/07/2020,0.127,0.348,19.6,-0.555,2.57,-4.85,-9.48,-2.8,-6.72
2500,02/07/2020,0.51,-2.16,10.4,-2.52,0.807,2.27,-5.93,0.914,1.3
3400,02/07/2020,-0.234,0.221,10.1,-1.37,-0.678,-1.47,-5.15,-0.0714,0.584
3600,02/07/2020,-2.03,-2.66,15.6,-7.39,-1.13,-7.74,-5.83,-2.62,-3.98
4400,02/07/2020,-7.97,-12,60.9,-10.4,-2.96,-7.5,1.08,-8.12,-13.1
900,02/08/2020,-0.558,-1.37,18.2,1.35,-4.57,-1.25,-6.14,-5.5,-6.15
2500,02/08/2020,0.894,-0.686,8.59,-3.18,2.02,0.51,-6.42,-0.865,-4.03
3400,02/08/2020,0.481,0.847,14,-2.01,-0.612,0.543,-2.99,-0.343,0.0049
3600,02/08/2020,-1.65,-4.14,14.7,-7.12,-1.1,-4.93,-5.33,-2.41,-3.57
4400,02/08/2020,-8.93,-8.47,71.3,-6.7,-1.3,-16,13,-8.92,-15.8
900,02/09/2020,0.998,-1.23,19,3.43,-1.27,-0.514,-5.35,-2.77,-3.86
2500,02/09/2020,2.19,-0.521,6.45,-2.9,4.89,-0.383,-1.59,0.0578,-5.21
3400,02/09/2020,1.44,1.8,11.3,-1.74,1.82,0.511,-1.9,1.01,0.331
3600,02/09/2020,-0.488,-4.66,14.3,-5.99,1.56,-4.15,-3.04,-0.744,-2.86
4400,02/09/2020,-9.62,-8.45,63.5,-10.5,1.63,-24.5,-5.4,-9.51,-18.8
900,02/10/2020,-0.704,-3.06,10.5,1.56,-2.17,0.213,-7.32,-3.59,-4.61
2500,02/10/2020,-0.315,-3.23,2.14,-6.54,6.61,2.05,-8.42,-0.582,-8.35
3400,02/10/2020,0.229,0.133,9.65,-3.32,4.47,0.003,-4.71,1.75,-0.735
3600,02/10/2020,-2.87,-6.56,13.2,-7.29,3.39,-5.86,-9.2,-1.08,-5.21
4400,02/10/2020,-11.4,-6.39,70.5,-13,3.83,-23.9,5.01,-12.2,-25.1
900,02/11/2020,-1.16,-4.97,21.8,-0.0538,-5.05,-6.68,-6.94,-3.36,-2.08
2500,02/11/2020,-1.61,-3.01,-1.82,-5.41,2.6,2.09,-2.74,-2.39,-7.87
3400,02/11/2020,-0.509,-0.595,7.51,-2.09,1.39,-0.002,-2.33,-0.0761,-1.43
3600,02/11/2020,-3.78,-7.61,9.25,-6.86,1.08,-5.01,-8.48,-2.21,-5.28
4400,02/11/2020,-14.5,-7.18,51.6,-10.1,1.48,-9.79,27.9,-12.1,-23.2
900,02/12/2020,1.76,-2.34,27.5,7.5,-2.35,-2.01,-12.4,2.51,6.23
2500,02/12/2020,-1.08,-0.311,-1.54,-2.93,3.25,2.26,-6.3,-1.95,-7.7
3400,02/12/2020,1.73,0.224,8.69,2.61,3.66,3.67,0.112,3.43,3.27
3600,02/12/2020,-1.6,-5.87,5.33,-1.05,4.02,1.46,-6.76,1.61,-0.651
4400,02/12/2020,-9.56,-6.61,62.9,0.244,1.33,-13.5,46.2,-8.26,-16.3
900,02/13/2020,2.12,-2.54,28.9,11.1,-1.97,0.158,-11.6,4.57,9.56
2500,02/13/2020,0.635,0.601,1.21,-0.572,4.94,1.19,-4.08,-0.112,-5.75
3400,02/13/2020,1.43,1.11,6.37,2.06,2.4,3.41,-0.335,2.77,3.17
3600,02/13/2020,-1.03,-5.47,6.17,-0.908,4.26,3.48,-4.9,1.98,-0.183
4400,02/13/2020,-8.24,-6.04,38.2,10.5,4.2,-3.46,28.5,-2.92,-9.15
900,02/14/2020,1.32,-1.5,20.9,12.9,-1.69,0.0959,-12.8,5.12,10.4
2500,02/14/2020,0.425,-0.104,-0.695,0.582,5.33,-7.31,-5.26,0.313,-5.36
3400,02/14/2020,1.65,0.489,5.66,2.82,2.85,5.87,-1.16,3.37,3.91
3600,02/14/2020,-0.134,-4.76,4.22,1.15,5.49,3.15,-3.47,3.09,0.771
4400,02/14/2020,-11.6,-7.85,17.5,0.585,3.88,9.25,45.2,-3.49,-10.2
900,02/15/2020,0.701,-1.47,19.5,9.68,-2.35,-3.3,-17.6,3.4,7.79
2500,02/15/2020,-0.552,-0.673,-0.877,-0.345,3.94,-7.57,-4.89,0.351,-3.68
3400,02/15/2020,0.397,-0.751,1,0.682,0.693,4.39,-2.38,1.55,2.44
3600,02/15/2020,-0.675,-2.96,4.62,-0.619,2.81,2.16,-2.22,1.31,-0.136
4400,02/15/2020,-10.2,-10.4,9.94,-4.85,2.22,10.1,29.7,-0.86,-3.76
900,02/16/2020,0.336,-1.39,19.9,6.8,-4.72,-1.98,-15.4,2.23,7.48
2500,02/16/2020,-0.775,-0.102,3.41,-0.138,2.53,-7.07,-3.91,-0.57,-3.98
3400,02/16/2020,0.297,0.231,0.223,1.46,-0.399,4,-1.3,1.14,2.7
3600,02/16/2020,-0.789,-1.57,6.94,-0.18,0.839,2.41,-1.6,0.331,-0.151
4400,02/16/2020,-10,-2.39,12.4,-3.79,-1.58,11.9,41,-0.861,-0.116
900,02/17/2020,2.56,-0.951,20.9,11.3,4.12,8.22,-17.2,7.3,9.49
2500,02/17/2020,2.19,-2.37,4.39,6.59,8.93,-8.78,-6.88,5.55,1.94
3400,02/17/2020,0.99,-0.951,-0.428,2.24,2.71,1.77,-3.38,2.4,2.24
3600,02/17/2020,1.66,-0.807,6.26,1.49,4.57,2.75,-1.08,3.12,1.75
4400,02/17/2020,1.39,3.65,2.32,6.15,-0.904,15.2,35.4,8.17,18.5
900,02/18/2020,-0.147,-1.91,14.6,7.96,-1.42,-4.73,-21.2,3.66,7.51
2500,02/18/2020,0.447,-0.853,11.9,0.954,3.03,-3.74,-6.32,0.433,-2.35
3400,02/18/2020,-0.127,-1.36,-0.472,-0.646,-0.468,0.125,-4.65,0.234,0.989
3600,02/18/2020,-0.467,-2.28,8.6,-0.54,0.569,-1.39,-2.16,-0.351,-1.26
4400,02/18/2020,-7.87,-2.71,0.175,-1.03,-5.32,7.3,-3.76,-1.37,2.81
900,02/19/2020,-2.6,-5.83,11.5,4.44,-5.02,-3.47,-19.9,0.136,4.06
2500,02/19/2020,0.0067,-1.44,14.4,0.196,0.163,-4.87,-4.19,-0.401,-0.902
3400,02/19/2020,-1.59,-1.5,-2.66,-3.44,-3.21,-0.615,-5.91,-2.82,-2.35
3600,02/19/2020,-1.25,-2.47,9,-1.98,-1.94,-5.59,-3.72,-2.08,-2.25
4400,02/19/2020,-8.58,-1.2,-11.1,-8.47,-10.3,43.7,-20.5,-8.27,-6.14
900,02/20/2020,-2.41,-6.32,8.34,2.85,-5.61,-1.45,-18.9,-0.616,3.25
2500,02/20/2020,-0.586,-0.318,15.1,1.59,-1.42,-1.84,-2.83,-1.19,-0.781
3400,02/20/2020,-0.257,-0.0046,-0.741,-0.604,-1.57,2.17,-7.46,-0.546,0.554
3600,02/20/2020,-1.68,-2.07,6.93,-0.987,-2.5,-3.73,-4.05,-1.55,-0.67
4400,02/20/2020,-5.52,2.88,0.0484,-9.7,-12.6,17.7,14.2,-9.06,-5.22
900,02/21/2020,-1.93,-5.78,0.54,3.16,-3.96,-0.347,-16.1,0.396,3.68
2500,02/21/2020,-0.765,0.277,9.4,3.05,-1.49,7.23,-4.98,0.181,2.22
3400,02/21/2020,-0.808,1.67,1.64,-1.51,-2.16,-0.491,-10.2,-1.35,-0.411
3600,02/21/2020,-1.58,-0.729,4.23,-1.05,-1.81,-6.93,-4.97,-0.314,1.05
4400,02/21/2020,-0.744,8.41,-4.13,-11.7,-8.72,23.1,1.3,-5.72,-2.29
900,02/22/2020,-0.648,-5.05,-1.3,2.45,-1.17,-0.223,-9.29,1.25,3.04
2500,02/22/2020,0.126,-0.989,4.52,3.98,-1.52,6.24,-3.83,2.08,6.29
3400,02/22/2020,-0.652,2.68,3.48,-0.933,-1.63,-1.21,-12,-1.1,-0.439
3600,02/22/2020,-2.31,-3.51,1.59,-1.99,-1.96,-6.21,-3.54,-1.22,-0.552
4400,02/22/2020,1.38,11.8,-0.493,-19,-10.3,19.9,-12.5,-10.5,-10.6
900,02/23/2020,-0.434,-4.49,-0.816,2.21,-0.447,-1.45,-11.2,0.572,1.28
2500,02/23/2020,0.551,-1.4,3.02,6.66,-0.86,5.93,-6.47,3.44,8.48
3400,02/23/2020,-1,1.93,3.84,-1.46,-1.6,-1.22,-12.4,-1.45,-1.16
3600,02/23/2020,-2.4,-4.39,-0.585,-2.68,-1.54,-7.65,-2.63,-0.809,-0.155
4400,02/23/2020,6.28,13.5,-13.1,-15.6,-10,23.8,-8.11,-8.27,-6.45
900,02/24/2020,-0.931,-2.47,-1.44,2.25,-0.389,-6.39,-8.17,0.643,1.37
2500,02/24/2020,1.74,1.62,5.83,8.84,-2.16,2.9,-3.24,4.37,12.1
3400,02/24/2020,-0.983,4.93,2.88,-1.16,-2.92,-2.8,-13.8,-1.52,-0.041
3600,02/24/2020,-2.21,-2.37,0.402,-2.19,-2.83,-6.64,-3.11,-0.962,0.764
4400,02/24/2020,5.46,10.2,-24.7,-15.2,-7.99,23.7,-7.31,-6.2,-4.12
900,02/25/2020,-3,-6.7,-2.35,1.75,-0.534,-4,-10.1,-0.282,-0.227
2500,02/25/2020,1.54,-2.13,-0.51,9.73,0.302,4.28,-1.48,5.14,10.8
3400,02/25/2020,-1.45,3.59,2.3,-1.85,-1.69,-2.3,-12.8,-1.59,-1.37
3600,02/25/2020,-2.7,-4.18,0.413,-2.91,-0.213,-5.48,-4.21,-0.261,-0.311
4400,02/25/2020,8.86,1.86,-30.4,-14.2,-6.15,-3.47,4.26,-2.47,1.45
900,02/26/2020,-0.223,1.47,-3.12,3.34,2.95,-4.67,-8.15,1.73,0.721
2500,02/26/2020,1.49,-1.92,-5.27,10.9,4.27,3.01,-6.6,6.92,10
3400,02/26/2020,0.0444,4.25,2.18,-0.576,1.06,-0.909,-11.1,0.59,0.281
3600,02/26/2020,-2.6,-2.94,1.94,-2.45,0.584,-4.53,-4.94,0.383,0.181
4400,02/26/2020,4.59,0.13,-29.7,-8.96,-5.56,-26,-7.49,-1.57,2.84
900,02/27/2020,-0.654,1.67,-7.88,5.94,2.78,-5.85,-14,1.99,1.33
2500,02/27/2020,0.598,-2.06,-9.8,10.3,4.61,3.3,-7.24,6.92,9.63
3400,02/27/2020,-1.14,1.88,-1.81,-2.06,0.275,-3.59,-10.2,-0.838,-1.71
3600,02/27/2020,-3.07,-4.54,0.952,-1.07,0.677,-7.71,-4.8,-0.149,-0.927
4400,02/27/2020,4.57,-3.95,-39.7,-10.5,-0.524,-17,-25.6,-1.83,-2.48
900,02/28/2020,-2.07,0.0156,-7.17,7.82,3.59,-7.6,-20.3,2.28,1.31
2500,02/28/2020,0.697,-1.68,-7.49,11.3,6.31,3.38,-9.8,7.03,7.85
3400,02/28/2020,-1.43,1.2,-7.66,-0.568,0.597,-3.45,-9.26,-0.0025,-0.427
3600,02/28/2020,-4.63,-4.84,1.2,-0.221,-0.584,-6.87,-8.84,-1.08,-1.56
4400,02/28/2020,1.55,-7.35,-25.4,-3.55,-1.46,-8,-14.3,-3.09,-4.61
900,02/29/2020,-1.41,-1.54,-4.01,10.9,3.3,-6.78,-21.2,3.21,3.16
2500,02/29/2020,1.34,-1.74,-3.57,12.4,7.63,4.45,-8.55,7.37,7.05
3400,02/29/2020,0.165,0.329,-2.9,2.74,1.2,-1.84,-6.54,1.84,2.57
3600,02/29/2020,-3.23,-4.49,4.11,2.21,1.05,-5.08,-9.66,0.514,0.0055
4400,02/29/2020,-1.51,-13.7,-25.7,1.17,-0.947,-10.9,-18.3,-0.662,-0.162
900,03/01/2020,-3.14,-1.01,-10.1,12.6,1.66,-6.79,-26.3,3.22,4.37
2500,03/01/2020,-1.59,-0.333,0.0224,11.4,2.44,0.829,-12,2.93,3.49
3400,03/01/2020,-1.13,-0.254,-11.7,5.08,2.34,-3.25,-8.71,3.26,4.23
3600,03/01/2020,-4.73,-2.68,-3.93,4.36,0.92,-9.12,-14.8,1.37,1.81
4400,03/01/2020,-9.42,-25.8,-26,1.91,0.338,-11.1,-19.1,-0.0937,-0.559
900,03/02/2020,0.594,0.363,-7.24,18.2,7.95,-3.29,-23.4,9.15,10
2500,03/02/2020,0.242,1.03,4.05,17.3,6.01,0.274,-10.8,6.25,6.58
3400,03/02/2020,1.9,1.45,-7.01,7.16,5.49,0.346,-8.57,6.04,6.69
3600,03/02/2020,-2.6,-2.36,1.25,6.79,3.37,-4.71,-14.8,3.26,3.21
4400,03/02/2020,-5.7,-17,-16.7,18,9.17,-18.2,-31.5,7.58,5.87
900,03/03/2020,0.344,0.259,-6.8,15.5,5.21,-2.12,-23.2,6.21,6.92
2500,03/03/2020,-0.153,2.92,2.23,14.4,5.85,-1.72,-15.9,5.1,4.29
3400,03/03/2020,2.48,1.94,-6.7,8.8,5.08,0.604,-5.66,6.49,7.95
3600,03/03/2020,-1.71,-2.15,1.26,7.27,3.04,-3.26,-12.5,3.2,3.46
4400,03/03/2020,-12.9,-36.5,-3.5,22.2,7.93,-6.4,-40.7,7,5.99
900,03/04/2020,0.61,-1.29,-6.42,16.5,7.06,6.74,-27.2,6.94,6.81
2500,03/04/2020,1.06,2.29,1.01,14.9,7.92,-2.7,-14.4,7.58,7.29
3400,03/04/2020,1.89,1.17,-4.73,10.2,6.44,-1.2,-6.92,7.39,8.46
3600,03/04/2020,-2.18,-3.19,0.0066,7.77,3.46,-4.37,-15.7,3.98,4.67
4400,03/04/2020,-10.1,-27.1,-5.38,19.2,12,17.2,-48.3,7.39,2.16
900,03/05/2020,-0.339,-4.29,-0.71,13.4,6.06,-0.29,-29.3,6.11,6.11
2500,03/05/2020,1.69,2.83,7.01,14.1,7.79,-2.64,-12.1,8.02,8.44
3400,03/05/2020,1.78,0.976,-3.84,11.7,8.46,1.13,-10.3,9.1,9.9
3600,03/05/2020,-1.54,-2.93,-0.939,7.06,6.17,-4.48,-16.5,5.39,4.86
4400,03/05/2020,-9.67,-23.6,-9.86,15.1,13.4,29.1,-32.9,8.01,2.39
900,03/06/2020,-0.89,-5.7,-1.23,8.78,7.03,-1.18,-29.3,5.49,4.29
2500,03/06/2020,1.21,1.75,4.81,15,9.38,-9.69,-16,8.91,8.53
3400,03/06/2020,1.26,-0.756,-3.15,11.8,10.1,0.732,-12,9.98,10
3600,03/06/2020,-2.12,-3.58,-3.17,4.4,7.6,-4.29,-18.7,5.25,3.27
4400,03/06/2020,-8.84,-16.9,-15.3,22.4,8.44,3.12,-44,7.23,6.6
900,03/07/2020,0.266,-5.52,-0.965,10.3,7.47,-0.894,-31.7,9.31,10.7
2500,03/07/2020,0.639,1.07,2.67,12.3,8.86,-15.9,-18,7.76,6.68
3400,03/07/2020,2.36,-0.883,-2.16,11.6,13.7,3.29,-12.8,12.1,10.7
3600,03/07/2020,-0.574,-4.08,-3.69,3.49,10.5,-3.56,-17,6.86,3.74
4400,03/07/2020,-4.1,-10.7,-17.1,16.2,12.6,36.3,-40.2,8.59,5.08
